name,Rainbow adjusted
0,0,255
11,10,255
19,18,255
25,24,255
30,29,255
34,34,255
38,38,255
41,42,255
44,45,255
47,49,255
49,52,255
51,55,255
54,58,255
56,61,255
58,64,255
60,67,255
61,70,255
63,73,255
65,76,255
66,78,255
68,81,255
69,84,255
70,86,255
71,89,255
73,91,255
74,94,255
75,96,255
76,99,255
77,101,255
78,104,255
79,106,255
79,109,255
80,111,255
81,113,255
82,116,255
82,118,255
83,120,255
84,123,255
84,125,255
85,128,255
85,130,255
86,132,255
86,135,255
86,137,255
87,139,255
87,142,255
87,144,255
87,146,255
87,149,255
88,151,255
88,153,255
88,156,255
88,158,255
88,160,255
88,162,255
87,165,255
87,167,255
87,169,255
87,172,255
86,174,255
86,176,255
86,179,255
85,181,255
85,183,255
84,185,255
84,188,255
83,190,255
82,192,255
82,195,255
81,197,255
80,199,255
79,202,255
78,204,255
77,206,255
76,209,255
74,211,255
73,213,255
72,215,255
70,218,255
68,220,255
67,222,255
65,225,255
63,227,255
60,229,255
58,232,255
55,234,255
52,236,255
49,239,255
46,241,255
42,243,255
37,246,255
31,248,255
25,250,255
15,253,255
0,255,255
15,255,252
24,255,248
30,255,245
36,255,242
40,255,238
44,255,235
47,255,232
50,255,228
52,255,225
54,255,222
57,255,218
58,255,215
60,255,212
61,255,208
63,255,205
64,255,202
65,255,198
66,255,195
67,255,191
68,255,188
68,255,185
69,255,181
69,255,178
69,255,175
70,255,171
70,255,168
70,255,164
70,255,161
70,255,157
70,255,154
69,255,150
69,255,147
69,255,143
68,255,140
68,255,136
67,255,133
66,255,129
65,255,125
64,255,122
63,255,118
62,255,114
61,255,110
60,255,106
58,255,102
57,255,98
55,255,94
53,255,90
51,255,85
49,255,81
47,255,76
44,255,71
41,255,66
38,255,60
35,255,54
31,255,48
26,255,40
20,255,32
11,255,20
0,255,0
38,255,0
56,255,0
69,255,0
80,255,0
89,255,0
98,255,0
106,255,0
113,255,0
120,255,0
127,255,0
133,255,0
139,255,0
145,255,0
150,255,0
156,255,0
161,255,0
166,255,0
171,255,0
176,255,0
181,255,0
186,255,0
191,255,0
195,255,0
200,255,0
204,255,0
209,255,0
213,255,0
218,255,0
222,255,0
226,255,0
230,255,0
235,255,0
239,255,0
243,255,0
247,255,0
251,255,0
255,255,0
255,252,0
255,249,0
255,247,0
255,244,0
255,241,0
255,238,0
255,235,0
255,233,0
255,230,0
255,227,0
255,224,0
255,221,0
255,219,0
255,216,0
255,213,0
255,210,0
255,207,0
255,204,0
255,201,0
255,199,0
255,196,0
255,193,0
255,190,0
255,187,0
255,184,0
255,181,0
255,178,0
255,175,0
255,172,0
255,169,0
255,166,0
255,163,0
255,160,0
255,157,0
255,154,0
255,151,0
255,147,0
255,144,0
255,141,0
255,138,0
255,135,0
255,131,0
255,128,0
255,124,0
255,121,0
255,118,0
255,114,0
255,110,0
255,107,0
255,103,0
255,99,0
255,95,0
255,91,0
255,87,0
255,82,0
255,78,0
255,73,0
255,68,0
255,62,0
255,56,0
255,50,0
255,42,0
255,33,0
255,21,0
255,0,0
